erRes1,erRes2
一串儿,一串
一会儿,一会
一块儿,一块
一对儿,一对
一溜儿,一溜
一点儿,一点
不好玩儿,不好玩
不好的事儿,不好的事
不懂事儿,不懂事
不是事儿,不是事
串儿,串
事儿,事
京味儿,京味
京片儿,京片
人儿,人
人名儿,人名
什么玩意儿,什么玩意
仙儿,仙
会来事儿,会来事
伴儿,伴
住哪儿,住哪
使劲儿,使劲
做事儿,做事
兔儿,兔
冒烟儿,冒烟
冰棍儿,冰棍
凉快儿,凉快
出事儿,出事
到哪儿,到哪
到点儿,到点
券儿,券
势利眼儿,势利眼
北京人儿,北京人
半个儿,半个
卖店儿,卖店
卖破烂儿,卖破烂
去哪儿,去哪
可人儿,可人
味儿,味
咋回事儿,咋回事
咸味儿,咸味
哏儿,哏
哥们儿,哥们
哪儿,哪
啥事儿,啥事
啥玩意儿,啥玩意
嗓门儿,嗓门
回哪儿,回哪
圈儿,圈
在哪儿,在哪
地缝儿,地缝
坎儿,坎
坏事儿,坏事
大伙儿,大伙
大嗓门儿,大嗓门
大婶儿,大婶
大片儿,大片
大碴子味儿,大碴子味
大老爷们儿,大老爷们
大腕儿,大腕
大院儿,大院
头发帘儿,头发帘
女孩儿,女孩
好事儿,好事
好玩儿,好玩
妞儿,妞
姐妹儿,姐妹
媳妇儿,媳妇
学习倍棒儿,学习倍棒
安吉拉大宝贝儿,安吉拉大宝贝
完事儿,完事
完活儿,完活
宝儿,宝
宝贝儿,宝贝
家伙事儿,家伙事
对联儿,对联
小事儿,小事
小人儿,小人
小伙儿,小伙
小女孩儿,小女孩
小娘炮儿,小娘炮
小孩儿,小孩
小屁孩儿,小屁孩
小心眼儿,小心眼
小拇指甲盖儿,小拇指甲盖
小曲儿,小曲
小玩意儿,小玩意
小船儿,小船
小芽儿,小芽
小鱼儿,小鱼
小鸡儿,小鸡
少点儿,少点
尖儿,尖
尖果儿,尖果
屯儿,屯
巷巷儿,巷巷
帽儿,帽
待会儿,待会
得劲儿,得劲
心眼儿,心眼
快点儿,快点
怎么碴儿,怎么碴
慢点儿,慢点
我在哪儿,我在哪
手腕儿,手腕
打鸟儿,打鸟
抠门儿,抠门
拐弯儿,拐弯
掉皮儿,掉皮
搞话儿,搞话
摆摊儿,摆摊
撸串儿,撸串
文艺范儿,文艺范
方块儿,方块
早起的鸟儿,早起的鸟
明朝那些事儿,明朝那些事
昨儿,昨
曲儿,曲
月儿,月
有事儿,有事
有劲儿,有劲
有急事儿,有急事
有点儿,有点
有空儿,有空
有范儿,有范
有趣儿,有趣
朵儿,朵
杆儿,杆
村儿,村
果儿,果
根儿,根
档案词儿,档案词
棋子儿,棋子
椒盐味儿,椒盐味
款待会儿,款待会
歌儿,歌
死小孩儿,死小孩
毛儿,毛
民国范儿,民国范
江流儿,江流
江琉儿,江琉
没事儿,没事
没溜儿,没溜
泥人儿,泥人
活儿,活
流浪儿,流浪
炮儿,炮
炸串儿,炸串
点儿,点
烟杆儿,烟杆
烤串儿,烤串
爆肚儿,爆肚
爷们儿,爷们
爽肤水儿,爽肤水
片儿,片
犯事儿,犯事
狗儿,狗
狗蛋儿,狗蛋
狼孩儿,狼孩
猴儿,猴
玉儿,玉
玩儿,玩
玩意儿,玩意
用在哪儿,用在哪
男孩儿,男孩
画儿,画
画画儿,画画
的人儿,的人
省事儿,省事
省劲儿,省劲
真好玩儿,真好玩
眼儿,眼
眼神儿,眼神
石子儿,石子
破烂儿,破烂
祥儿,祥
站一会儿,站一会
等会儿,等会
管事儿,管事
米粒儿,米粒
籽儿,籽
糊味儿,糊味
红儿,红
纯爷们儿,纯爷们
练块儿,练块
组局一起玩儿,组局一起玩
绸儿,绸
绿帽儿,绿帽
美人儿,美人
翻花儿,翻花
老头儿,老头
老板儿,老板
老炮儿,老炮
肉馅儿,肉馅
胡同儿,胡同
脑门儿,脑门
脖颈儿,脖颈
脚儿,脚
脸蛋儿,脸蛋
腥味儿,腥味
臭味儿,臭味
色唐果儿,色唐果
花儿,花
花朵儿,花朵
花骨朵儿,花骨朵
范儿,范
茶嘴儿,茶嘴
蒸鹿尾儿,蒸鹿尾
蚕儿,蚕
蛐蛐儿,蛐蛐
血管儿,血管
裤衩儿,裤衩
讲究人儿,讲究人
费事儿,费事
赶趟儿,赶趟
跌份儿,跌份
跳皮筋儿,跳皮筋
转圈儿,转圈
轻一点儿,轻一点
过了一会儿,过了一会
这儿,这
通向哪儿,通向哪
遛弯儿,遛弯
那些事儿,那些事
那儿,那
酒醉佬儿,酒醉佬
金属味儿,金属味
钢镚儿,钢镚
铁哥们儿,铁哥们
门清儿,门清
门脸儿,门脸
闹事儿,闹事
闻味儿,闻味
陈一发儿,陈一发
霉味儿,霉味
靠谱儿,靠谱
面儿,面
面片儿,面片
风儿,风
馅儿,馅
马儿,马
马桶盖儿,马桶盖
鱼儿,鱼
鱼鱼儿,鱼鱼
鸟儿,鸟
鸡儿,鸡
齿儿,齿
奔头儿,奔头
放哪儿,放哪
眼镜儿,眼镜
翻篇儿,翻篇
豆汁儿,豆汁
还是那儿,还是那
双眼皮儿,双眼皮
龟孙儿,龟孙
差点儿,差点
串门儿,串门
有头儿,有头
没边儿,没边
哥俩儿,哥俩
