resWLsplit1,resWLsplit2
年代 心平气和,"年代,心平气和"
友情   不离不散   有难必帮,"友情,不离不散,有难必帮"
高达，自由高达,"高达,自由高达"
笨鸟先飞，努力奋斗,"笨鸟先飞,努力奋斗"
安静 镇静舒缓，镇静剂，安静，躁狂，精神障碍,"安静,镇静舒缓,镇静剂,安静,躁狂,精神障碍"
夜   衣服  皮肤,"夜,衣服,皮肤"
子弹 炮弹 轨道,"子弹,炮弹,轨道"
工人，教师，井,"工人,教师,井"
皮肤 皮下出血 皮试 树皮 书皮 果皮 皮皮鲁,"皮肤,皮下出血,皮试,树皮,书皮,果皮,皮皮鲁"
玫瑰  钻石  漂亮 美好 颜色 包装 朋友 神秘,"玫瑰,钻石,漂亮,美好,颜色,包装,朋友,神秘"
外国 出口 美国,"外国,出口,美国"
思想，思考，理解,"思想,思考,理解"
图片美工、服装设计,"图片美工,服装设计"
有趣 事情 发生,"有趣,事情,发生"
相信 信任 确定,"相信,信任,确定"
马上，紧跟着，立刻,"马上,紧跟着,立刻"
帮忙 帮助 帮,"帮忙,帮助,帮"
加薪 平等 离婚,"加薪,平等,离婚"
我是谁，从哪来，到哪去,"我是谁,从哪来,到哪去"
我，妹妹，我弟,"我,妹妹,我弟"
上海 南京 地铁,"上海,南京,地铁"
杀人 杀破狼 可怕,"杀人,杀破狼,可怕"
裤子，颜色，漂亮,"裤子,颜色,漂亮"
奇特 神奇 怪人,"奇特,神奇,怪人"
老师  工匠  西游记,"老师,工匠,西游记"
毒品 病毒 白色 粉末,"毒品,病毒,白色,粉末"
成长，萌芽，温柔,"成长,萌芽,温柔"
文章，笔法，行文,"文章,笔法,行文"
婴儿，生机，活着,"婴儿,生机,活着"
毒药 烧火 绞刑架,"毒药,烧火,绞刑架"
剥皮刀 皮草 虐待,"剥皮刀,皮草,虐待"
国旗 口红 指甲油,"国旗,口红,指甲油"
天堂，云朵，轻飘飘,"天堂,云朵,轻飘飘"
老员工   年龄大,"老员工,年龄大"
日剧  美剧 英剧 国产 TVB  网络,"日剧,美剧,英剧,国产,TVB,网络"
执着 人生 坚持 奋斗,"执着,人生,坚持,奋斗"
自杀  运动 抑郁 生活艰难  供楼 供车,"自杀,运动,抑郁,生活艰难,供楼,供车"
食品 人  产品 世界 商标 企业 单位 标志,"食品,人,产品,世界,商标,企业,单位,标志"
工作 为人处事 五险一金  紧张 欺骗,"工作,为人处事,五险一金,紧张,欺骗"
白云 太阳 天空 大地,"白云,太阳,天空,大地"
爱 抚育 伟大,"爱,抚育,伟大"
朋友 亲密 女,"朋友,亲密,女"
就要 就是 将就,"就要,就是,将就"
蓝色 宽广 波涛,"蓝色,宽广,波涛"
明信片。老朋友。,"明信片,老朋友,"
嚎啕大哭 梨花带雨 啜泣,"嚎啕大哭,梨花带雨,啜泣"
姐妹，孩子，家庭，兄弟，外公，外婆，爷爷，奶奶，亲家，结婚证，结婚，户口，人口，生活，家庭教育，伴侣，责任，法律，离婚，,"姐妹,孩子,家庭,兄弟,外公,外婆,爷爷,奶奶,亲家,结婚证,结婚,户口,人口,生活,家庭教育,伴侣,责任,法律,离婚,"
日本 樱花 柯南,"日本,樱花,柯南"
书本，笔，橡皮,"书本,笔,橡皮"
政治 政府 政界,"政治,政府,政界"
队友 队员 队伍,"队友,队员,队伍"
事业 工作 有关部门,"事业,工作,有关部门"
吃饱 喝足喜欢,"吃饱,喝足喜欢"
破案 寻找 私家,"破案,寻找,私家"
幸福 和谐 平安,"幸福,和谐,平安"
女式 淑女 年轻人,"女式,淑女,年轻人"
爷爷 奶奶 长辈,"爷爷,奶奶,长辈"
爱恋 难以割舍 珍贵,"爱恋,难以割舍,珍贵"
发呆 不专心 无心向雪,"发呆,不专心,无心向雪"
联系 联想 思考,"联系,联想,思考"
物价 房价 首付,"物价,房价,首付"
花朵 颜色 衣着,"花朵,颜色,衣着"
歌手 演员 电视剧,"歌手,演员,电视剧"
坚硬 温和 舒适,"坚硬,温和,舒适"
法制 公平 依据,"法制,公平,依据"
进去 出来 屋子,"进去,出来,屋子"
音乐 舞蹈 激烈,"音乐,舞蹈,激烈"
心灵故事        剔透感         透明水晶,"心灵故事,剔透感,透明水晶"
衣服  化妆品    不好的源泉,"衣服,化妆品,不好的源泉"
人生               士兵突击,"人生,士兵突击"
钥匙               心灵,"钥匙,心灵"
女人     经历      由内而外不因时间消磨的美,"女人,经历,由内而外不因时间消磨的美"
清明时节雨纷纷           国破      蒙蒙细雨,"清明时节雨纷纷,国破,蒙蒙细雨"
沙滩            伴侣,"沙滩,伴侣"
回家 干活 上学,"回家,干活,上学"
女孩 树 电子,"女孩,树,电子"
时间 精力 爱情,"时间,精力,爱情"
猪肉 房价 水,"猪肉,房价,水"
衣服 同事 买,"衣服,同事,买"
妈妈 爸爸 妹妹 朋友 同学 上司 同事 亲戚 陌生人,"妈妈,爸爸,妹妹,朋友,同学,上司,同事,亲戚,陌生人"
邮戳 快递 送信员 邮票 裁纸刀,"邮戳,快递,送信员,邮票,裁纸刀"
树木 火柴 书本,"树木,火柴,书本"
红烧肉 香煎小藕饼 北京烤鸭 大米饭 豆腐乳 辣椒酱 火锅 ...,"红烧肉,香煎小藕饼,北京烤鸭,大米饭,豆腐乳,辣椒酱,火锅,..."
钱 房子 利息,"钱,房子,利息"
qq、微信、陌陌,"qq,微信,陌陌"
汉堡，快餐店，,"汉堡,快餐店,"
智商、睡商、爱情,"智商,睡商,爱情"
知书达理 温柔贤惠,"知书达理,温柔贤惠"
油腻、肥肉、胖子,"油腻,肥肉,胖子"
数学 图 三角,"数学,图,三角"
太阳，阳光，蜡烛,"太阳,阳光,蜡烛"
帅哥  明星  演员,"帅哥,明星,演员"
同桌 同学 朋友,"同桌,同学,朋友"
书 灯泡 头脑,"书,灯泡,头脑"
烦躁 苦闷 心烦,"烦躁,苦闷,心烦"
子嗣，继承，文化,"子嗣,继承,文化"
饭 鱼 面 碗,"饭,鱼,面,碗"
困难 岔路 大学,"困难,岔路,大学"
健康 四肢 残缺,"健康,四肢,残缺"
猫 可爱 黄色,"猫,可爱,黄色"
拳击 黑人 表情,"拳击,黑人,表情"
天空   海洋 草地,"天空,海洋,草地"
价格  成本  曲线,"价格,成本,曲线"
读书 走路 吃饭,"读书,走路,吃饭"
士兵  仇恨 善惡,"士兵,仇恨,善惡"
跳水 进步 研究,"跳水,进步,研究"
瓷砖 玻璃 办公桌,"瓷砖,玻璃,办公桌"
囚犯 监狱 狱卒 自由,"囚犯,监狱,狱卒,自由"
很大，很圆，很窄,"很大,很圆,很窄"
躯体  神经  健康  壮实  结实  健美  运动  瑜伽  散步  跑步 亚健康  壮大  美好  内涵  实在 健,"躯体,神经,健康,壮实,结实,健美,运动,瑜伽,散步,跑步,亚健康,壮大,美好,内涵,实在,健"
气管  作业  负责任  实验  手术台   手术  白衣大褂  兔子  青蛙,"气管,作业,负责任,实验,手术台,手术,白衣大褂,兔子,青蛙"
天空 绘画 谋杀,"天空,绘画,谋杀"
黑暗 压抑 恶心 抽烟,"黑暗,压抑,恶心,抽烟"
整齐的 古板的 有点阴沉,"整齐的,古板的,有点阴沉"
睡觉 觉得 感觉,"睡觉,觉得,感觉"
加薪 加班 工作 熬夜,"加薪,加班,工作,熬夜"
有钱 拜金 壕,"有钱,拜金,壕"
做事 玩乐 开心,"做事,玩乐,开心"
鸟 鹦鹉学舌 乌鸦,"鸟,鹦鹉学舌,乌鸦"
老婆 婆婆 夫人,"老婆,婆婆,夫人"
高达 精神骨架,"高达,精神骨架"
曲线 姓氏 典,"曲线,姓氏,典"
死亡 懦弱的人,"死亡,懦弱的人"
袖套  厨具  黄磊,"袖套,厨具,黄磊"
没有 出没 没事,"没有,出没,没事"
回忆 男生 书,"回忆,男生,书"
裂缝、巨坑、湖,"裂缝,巨坑,湖"
空间 悟空 时间,"空间,悟空,时间"
骨质疏松，打嗝,"骨质疏松,打嗝"
留学 恋爱 亲人,"留学,恋爱,亲人"
歌曲 唱诗班 歌手 音乐 自由 爱好,"歌曲,唱诗班,歌手,音乐,自由,爱好"
奶奶 爷爷 姥爷,"奶奶,爷爷,姥爷"
钓鱼 散步 晒太阳,"钓鱼,散步,晒太阳"
很多车 高速路,"很多车,高速路"
错误 纰漏 失误,"错误,纰漏,失误"
身体 人体构造,"身体,人体构造"
严肃 难缠 无趣,"严肃,难缠,无趣"
大概 也许 可能 或许,"大概,也许,可能,或许"
体育比赛 竞赛,"体育比赛,竞赛"
苏打饼干 曲奇饼干 夹心饼干,"苏打饼干,曲奇饼干,夹心饼干"
汉堡包 汉堡王德国,"汉堡包,汉堡王德国"
友爱 团队 班级,"友爱,团队,班级"
大小 高矮 胖瘦,"大小,高矮,胖瘦"
动物 自然 角,"动物,自然,角"
樱花 水果 红色,"樱花,水果,红色"
相同 貌似 共通,"相同,貌似,共通"
足球 吹哨 公平,"足球,吹哨,公平"
